Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
Kadamba Transport Corporation Limited (KTCL) - 89821,A/C Sleeper (2+1),19:15,05:50,10h 35m,INR 1000,17 Seats available,"3.8
335",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Gogte Anand Travels,Volvo Multi-Axle I-Shift A/C Sleeper (2+1),19:30,09:00,13h 30m,INR 1000,20 Seats available,"4.2
167",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),21:15,07:55,10h 40m,INR 609,25 Seats available,"4.4
470",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
AdIntrCity SmartBus,AC Sleeper (2+1),22:00,09:05,11h 05m,INR 909,10 Seats available,"4.3
131",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Ashray Travels,Non A/C Seater / Sleeper (2+1),21:15,07:45,10h 30m,INR 500,31 Seats available,"4.3
468",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Kadamba Transport Corporation Limited (KTCL) - 89820,A/C Sleeper (2+1),19:00,07:00,12h 00m,INR 900,19 Seats available,"3.1
304",https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Ashray Travels,Non A/C Seater / Sleeper (2+1),20:00,06:30,10h 30m,INR 500,37 Seats available,"4.4
611",https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Ashray Grand,Volvo Multi-Axle A/C Sleeper (2+1),22:00,09:30,11h 30m,INR 1000,29 Seats available,"4.0
466",https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
AdIntrCity SmartBus,Bharat Benz A/C Sleeper (2+1),21:30,07:45,10h 15m,INR 909,9 Seats available,"4.4
512",https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
IntrCity SmartBus,Bharat Benz A/C Sleeper (2+1),18:00,04:00,10h 00m,INR 909,12 Seats available,"4.4
435",https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Kadamba Transport Corporation Limited (KTCL) - 97386,Volvo AC Seater Pushback 2+2,17:00,06:00,13h 00m,INR 800,19 Seats available,"3.8
354",https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
Dolphin travel house,Bharat Benz A/C Sleeper (2+1),21:30,13:15,15h 45m,INR 1110,11 Seats available,"4.5
67",https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
Dolphin Travel House (38),Bharat Benz A/C Sleeper (2+1),14:30,07:30,17h 00m,INR 1010,24 Seats available,"4.1
268",https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
AdGlobal Travel Agency (GTA),A/C Sleeper (2+1),17:50,12:30,18h 40m,INR 1000,17 Seats available,"4.0
115",https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
Konkan Travels National,,19:25,09:45,14h 20m,INR 800,,4.0,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
Shanta Travels,NON A/C Sleeper (2+1),19:30,08:15,12h 45m,INR 1010,16 Seats available,"4.0
331",https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa
Streamline tours and travels,A/C Sleeper (2+1),21:00,10:00,13h 00m,INR 1400,25 Seats available,"4.2
470",https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa
IntrCity SmartBus,AC Sleeper (2+1),20:30,10:40,14h 10m,INR 1089,12 Seats available,"4.0
400",https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa
AdRajat Travels,A/C Seater / Sleeper (2+1),20:15,08:45,12h 30m,648,25 Seats available,"3.0
3",https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa
,,,,,,,,https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa
Intercity travels,Bharat Benz A/C Sleeper (2+1),18:00,07:15,13h 15m,INR 1399,8 Seats available,"4.4
571",https://www.redbus.in/bus-tickets/goa-to-bangalore,Goa to Bangalore
Streamline tours and travels,A/C Sleeper (2+1),18:00,06:30,12h 30m,INR 1260,9 Seats available,"4.2
409",https://www.redbus.in/bus-tickets/goa-to-bangalore,Goa to Bangalore
Streamline tours and travels,A/C Sleeper (2+1),19:00,07:30,12h 30m,INR 1290,11 Seats available,"4.0
472",https://www.redbus.in/bus-tickets/goa-to-bangalore,Goa to Bangalore
Shanta Travels,NON A/C Sleeper (2+1),18:15,07:30,13h 15m,INR 1010,16 Seats available,"4.0
308",https://www.redbus.in/bus-tickets/goa-to-bangalore,Goa to Bangalore
,,,,,,,,https://www.redbus.in/bus-tickets/goa-to-bangalore,Goa to Bangalore
Kadamba Transport Corporation Limited (KTCL) - 116186,Volvo AC Seater 2+2,18:30,08:00,13h 30m,INR 800,15 Seats available,"4.1
296",https://www.redbus.in/bus-tickets/goa-to-mumbai,Goa to Mumbai
Atmaram Travels (Dolphin),A/C Sleeper (2+1),15:30,06:15,14h 45m,INR 1000,25 Seats available,"4.1
288",https://www.redbus.in/bus-tickets/goa-to-mumbai,Goa to Mumbai
Zingbus Plus,VE A/C Sleeper (2+1),20:40,12:20,15h 40m,1000,18 Seats available,"4.6
486",https://www.redbus.in/bus-tickets/goa-to-mumbai,Goa to Mumbai
Atmaram Travels (Unity),A/C Sleeper (2+1),20:00,11:05,15h 05m,INR 1000,30 Seats available,"4.1
305",https://www.redbus.in/bus-tickets/goa-to-mumbai,Goa to Mumbai
,,,,,,,,https://www.redbus.in/bus-tickets/goa-to-mumbai,Goa to Mumbai
Kadamba Transport Corporation Limited (KTCL) - 61005,Non AC Seater 2+2,21:15,10:00,12h 45m,INR 735,27 Seats available,"3.4
104",https://www.redbus.in/bus-tickets/pandharpur-to-goa,Pandharpur to Goa
Kadamba Transport Corporation Limited (KTCL) - 60996,Non AC Seater 2+2,19:00,07:00,12h 00m,INR 735,27 Seats available,"3.0
122",https://www.redbus.in/bus-tickets/goa-to-pandharpur,Goa to Pandharpur
New Shivbaba Tours And Travels,AC Sleeper (2+1),19:45,03:10,07h 25m,809,19 Seats available,"1.0
3",https://www.redbus.in/bus-tickets/goa-to-pandharpur,Goa to Pandharpur
Kadamba Transport Corporation Limited (KTCL) - 61005,Non AC Seater 2+2,20:00,10:00,14h 00m,INR 850,26 Seats available,"3.8
88",https://www.redbus.in/bus-tickets/solapur-to-goa,Solapur to Goa
Humsafar Travels,Bharat Benz A/C Sleeper (2+1),23:15,08:00,08h 45m,1125,20 Seats available,"3.2
96",https://www.redbus.in/bus-tickets/solapur-to-goa,Solapur to Goa
S R Travels,A/C Seater/Sleeper (2+1),18:45,07:00,12h 15m,INR 700,6 Seats available,"2.6
99",https://www.redbus.in/bus-tickets/solapur-to-goa,Solapur to Goa
Sharma Travels,Bharat Benz A/C Sleeper (2+1),23:00,09:00,10h 00m,INR 1300,18 Seats available,3.8,https://www.redbus.in/bus-tickets/solapur-to-goa,Solapur to Goa
Kadamba Transport Corporation Limited (KTCL) - 99718,AC Seater (2+2),15:30,17:15,01h 45m,INR 200,41 Seats available,"4.1
21",https://www.redbus.in/bus-tickets/calangute-goa-to-goa-airport,Calangute (goa) to Goa Airport
Kadamba Transport Corporation Limited (KTCL) - 99719,AC Seater (2+2),18:30,20:00,01h 30m,INR 200,42 Seats available,"4.4
27",https://www.redbus.in/bus-tickets/calangute-goa-to-goa-airport,Calangute (goa) to Goa Airport
Kadamba Transport Corporation Limited (KTCL) - 89821,A/C Sleeper (2+1),19:15,05:50,10h 35m,INR 1000,17 Seats available,"3.8
335",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),21:15,07:55,10h 40m,INR 609,25 Seats available,"4.4
470",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Gogte Anand Travels,Volvo Multi-Axle I-Shift A/C Sleeper (2+1),21:15,07:55,10h 40m,INR 1000,19 Seats available,"4.2
167",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
AdGogte Anand Travels,Volvo Multi-Axle I-Shift A/C Sleeper (2+1),23:30,11:30,12h 00m,INR 1000,8 Seats available,"4.4
93",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Ashray Travels,,21:20,07:45,10h 25m,,,4.3,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Kadamba Transport Corporation Limited (KTCL) - 89820,A/C Sleeper (2+1),19:00,07:00,12h 00m,INR 900,19 Seats available,"3.1
304",https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Ashray Travels,Non A/C Seater / Sleeper (2+1),20:00,06:30,10h 30m,INR 500,37 Seats available,"4.4
611",https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Ashray Grand,Volvo Multi-Axle A/C Sleeper (2+1),22:00,09:30,11h 30m,INR 1000,29 Seats available,"4.0
466",https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
AdIntrCity SmartBus,Bharat Benz A/C Sleeper (2+1),21:30,07:45,10h 15m,INR 909,9 Seats available,"4.4
512",https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
IntrCity SmartBus,Bharat Benz A/C Sleeper (2+1),18:00,04:00,10h 00m,INR 909,12 Seats available,"4.4
435",https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Kadamba Transport Corporation Limited (KTCL) - 97386,Volvo AC Seater Pushback 2+2,17:05,06:00,12h 55m,INR 800,18 Seats available,"3.8
354",https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
Dolphin travel house,Bharat Benz A/C Sleeper (2+1),21:45,13:15,15h 30m,INR 1110,11 Seats available,"4.5
67",https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
Dolphin Travel House (38),Bharat Benz A/C Sleeper (2+1),14:30,07:30,17h 00m,INR 1010,24 Seats available,"4.1
268",https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
AdGlobal Travel Agency (GTA),A/C Sleeper (2+1),17:50,12:30,18h 40m,INR 1000,17 Seats available,"4.0
115",https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
Konkan Travels National,,19:25,09:45,14h 20m,INR 800,,4.0,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
